sku,price_discounted,price_main
RCP264560BLA,16.9344,43.89,
RCP264560DGR,16.9344,43.89,
RCP264560RED,16.9344,43.89,
RCP264560WHI,16.9344,43.89,
RCP264560YEL,16.9344,43.89,
RCP264788GRA,78.8724,204.38,
RCP264788RED,78.8724,204.38,
RCP2649GRA,26.784,69.44,
RCP2650BLA,92.9664,240.96,
RCP2651L2,4.7952,9.16,
RCP2654YEL,75.5568,195.86,
RCP265788RED,100.548,260.58,
RCP2664BEI,54.7344,141.86,
RCP267360BEI,32.238,83.54,
RCP268988GRA,26.2008,67.93,
RCP269288BRO,33.0588,85.69,
RCP2791BLU,51.138,132.52,
RCP2882CLE,4.8708,12.61,
RCP2884CLE,8.4564,21.92,
RCP2885WHI,6.0156,15.59,
RCP2886CLE,9.4608,24.52,
RCP2947GRA,17.1936,44.54,
RCP295073BLA,8.1756,21.18,
RCP2952BEI,6.0156,15.59,
RCP2955GRA,5.454,14.14,
RCP2963RED,9.3096,24.12,
RCP315488BLA,11.7396,30.44,
RCP3210CLE,5.1516,13.36,
RCP3215CLE,8.8992,23.07,
RCP3216CLE,9.8712,25.60,
RCP3217CLE,13.4784,34.90,
RCP3218CLE,14.634,37.92,
RCP3300CLE,41.4396,107.42,
RCP3301CLE,59.8644,155.16,
RCP3302CLE,16.6752,43.25,
RCP3303CLE,26.2116,67.95,
RCP3304CLE,22.9176,59.40,
RCP3305CLE,14.7096,38.10,
RCP3306CLE,24.5052,63.52,
RCP3307CLE,13.5216,35.03,
RCP3308CLE,31.6548,82.06,
RCP3309CLE,17.0856,44.27,
RCP3310CLE,8.3376,21.61,
RCP3311CLE,24.5052,63.52,
RCP3314CLE,6.7392,17.48,
RCP3318CLE,15.4872,40.15,
RCP3331CLE,8.8992,23.07,
RCP3334CLE,9.6012,24.89,
RCP3335CLE,7.5816,19.65,
RCP3336CLE,7.1604,18.57,
RCP3337CLE,8.0244,20.80,
RCP3339CLE,10.4544,27.09,
RCP334992GRA,6.3288,17.07,
RCP3349GRA,9.3096,24.12,
RCP3349WHI,9.3096,24.12,
RCP3350BRO,16.3296,42.31,
RCP3351BRO,14.4612,37.48,
RCP3351GRA,14.4612,37.48,
RCP335388BLA,70.308,182.25,
RCP335488BLA,33.534,86.90,
RCP335588PLA,331.8118,876.19,
RCP3358CLE,120.5538,318.33,
RCP3359CLE,160.2614,423.22,
RCP3362GRA,10.8864,28.21,
RCP3421BLA,179.9562,475.20,
RCP342488BLA,212.2968,560.58,
RCP342488OWH,212.2968,560.58,
RCP342488RED,212.2968,560.58,
RCP3424L6,11.5344,18.09,
RCP3456AMB,8.532,22.07,
RCP3486108,57.1644,148.15,
RCP3500WHI,30.1968,78.28,
RCP3501WHI,44.8956,116.34,
RCP3502WHI,13.1112,33.98,
RCP3506WHI,18.6732,48.39,
RCP3507WHI,10.5948,27.47,
RCP3508WHI,23.3064,60.39,
RCP3509WHI,13.1112,33.98,
RCP3510WHI,7.6788,19.90,
RCP352073BLU,74.8548,194.00,
RCP3526WHI,36.504,94.58,
RCP3527RED,11.394,29.51,
RCP3527WHI,11.394,29.51,
RCP3530,59.346,153.82,
RCP353673BLU,51.516,133.52,
RCP3536WHI,51.516,133.52,
RCP3539WHI,15.6384,40.52,
RCP3543GRA,35.262,91.39,
RCP3548GRA,23.22,60.17,
RCP3550GRA,42.5412,110.24,
RCP355188BLA,65.988,171.03,
RCP3553STL,130.4648,344.51,
RCP3566GRA,108.6182,286.82,
RCP356988BRO,61.5816,159.62,
RCP360088WHI,269.9396,712.81,
RCP360288WHI,284.0164,749.98,
RCP360388WHI,288.2352,761.08,
RCP395873BLU,99.5544,258.01,
RCP3958GRA,99.5544,258.01,
RCP395973BLU,135.3408,357.33,
RCP3959BEI,135.3408,357.33,
RCP3959GRA,135.3408,357.33,
RCP6146RED,158.7774,432.80,
RCP6146WHI,158.7774,432.80,
RCP617388BLU,176.4582,465.96,
RCP6173L1,11.5128,18.28,
RCP6173L9GRA,30.7584,47.05,
RCP6174BLA,96.3792,249.80,
RCP6179BLA,53.7192,139.22,
RCP618088BLA,504.7402,1332.81,
RCP6181YEL,95.04,246.33,
RCP6184YEL,19.4832,50.47,
RCP6187BLA,34.4088,89.16,
RCP6189PLA,804.2114,2123.60,
RCP6190BLA,673.2378,1777.76,
RCP6191BLA,808.4196,2134.72,
RCP6192BLA,740.8234,1956.23,
RCP6194STL,15.7032,40.70,
RCP6196BLA,64.0224,142.73,
RCP6197BLA,71.6364,185.63,
RCP6243GRA,24.8292,66.40,
RCP6245GRA,36.774,98.37,
RCP6276YEL,37.3788,96.88,
RCP6300BLA,189.1146,499.35,
RCP6302CLE,5.1732,13.39,
RCP6306CLE,9.4068,24.37,
RCP6308CLE,10.7352,27.81,
RCP6312CLE,16.4268,42.59,
RCP6320,4.8708,12.61,
RCP6322CLE,27.1512,70.37,
RCP6341BLA,5.1516,13.36,
RCP6350BLA,61.3008,158.88,
RCP6355GRA,13.3164,34.50,
RCP6361,2.9916,7.75,
RCP6362,4.0068,10.41,
RCP6364,4.0068,10.41,
RCP6373BRO,5.1516,13.36,
RCP6381,10.4544,27.09,
RCP6383,13.1868,34.19,
RCP6385GRA,18.3276,47.49,
RCP6436YEL,13.0464,33.79,
RCP6482COB,2.4408,6.33,
RCP6509WHI,3.4452,8.93,
RCP6523WHI,4.752,12.34,
RCP750243,54.432,141.05,
RCP750443,71.6256,186.01,
RCP757088BRO,56.8944,147.43,
RCP757088YEL,56.8944,147.43,
RCP7570L2,4.374,7.00,
RCP757588BRO,101.9304,272.71,
RCP757588YEL,101.9304,264.18,
RCP758888BLU,97.4592,252.58,
